trial,state,value,param_gamma,param_mu,param_nu,param_rho,param_delta,param_lambda_,param_p_h,attr_train_total_revenue,attr_train_avg_revenue,attr_valid_total_revenue,attr_valid_avg_revenue,attr_pacing_term
61,COMPLETE,97.52974872886867,0.03521162395123762,2.1094810157914514,0.5157804296735575,1.9635985828297797,2.869519334174642,2.5114000041976983,-0.10710047802705974,330628.91690461186,97.9641235272924,82315.10792716515,97.52974872886867,0.7896976531256735
62,PRUNED,45.16376067365116,0.08094994282407952,2.494563113502581,1.0696763761025228,0.7801136236623949,0.6919073129902716,2.061096465555299,0.3379400590797951,,,,,
63,PRUNED,83.20103355899417,0.21460873061315366,1.0971340519876716,1.6752428602985736,1.7512654784248687,1.6289510809129641,1.4134016286054278,-0.017085814943639602,,,,,
64,COMPLETE,96.80897694522945,0.018590263490487993,2.695636043653892,0.1841062040447588,-0.10231091966361816,2.593375625650434,1.0340817593899585,-0.32751298504409326,329689.19214570307,97.68568656168979,81706.77654177365,96.80897694522945,1.033508154701638
65,PRUNED,95.98434370523564,0.0458141102305719,2.6254060890698945,0.060816911615502955,-0.21540176544860046,5.990119834958147,1.8852954276645506,0.6106554621644494,,,,,
66,PRUNED,91.19979108218618,0.01637289005263964,2.9782077318561333,1.5032922087629734,1.6394765910544364,4.058163314942549,2.585873423903364,0.4480487244550952,,,,,
67,COMPLETE,98.0640837605698,0.037445573895043965,2.150408873927135,1.257503408076805,-0.05141402293260455,4.443587767526339,2.6327527472543144,-0.1845843361669945,330748.0043045981,97.99940868284388,82766.08669392091,98.0640837605698,1.0094902232926894
68,COMPLETE,96.62678792719366,0.20014102725533459,1.1039706489270764,2.2360606684512936,0.07342981436717405,3.423598239018025,2.4393169657866443,-0.7541354988546773,326847.1589249905,96.84360264444163,81553.00901055145,96.62678792719366,0.9446239703114049
69,PRUNED,93.85386989504535,0.049958811390161714,1.1245687083538767,0.8010454662753655,0.7158912123128648,5.087703972989829,4.04445969400377,-0.696334220877189,,,,,
70,PRUNED,99.06111079647697,0.015893459202925654,2.514851835183414,0.36348309026925385,-1.7722378212351357,5.70422022436085,4.237254548740918,-0.08514367122253577,,,,,
71,PRUNED,92.33311363466693,0.013577859599100848,2.972032919430688,0.23784290348611165,-2.525344470273253,1.277590592254615,1.614263166711606,0.009812687595400382,,,,,
72,COMPLETE,98.5609366748951,0.12325496150628712,2.08349378745182,0.7322218901748697,-0.2507579322308704,2.8792343957700295,1.3844804468851206,0.052120716543549356,332629.66687589523,98.55693833359858,83185.43055361147,98.5609366748951,0.9869303168931483
73,COMPLETE,97.98706655791715,0.07260005177567634,2.4377083949586535,0.3621366161401539,-2.0230861955299986,3.5277962665397196,2.772860448108945,-0.22127556304608198,332002.9501170266,98.37124447911899,82701.08417488207,97.98706655791715,1.4476595370066563
74,PRUNED,95.77538264179731,0.10502931333870094,2.6678660902566427,0.36212969973631903,-2.410815069563619,3.554381633534087,2.323464330921655,-0.43751949668593215,,,,,
75,PRUNED,103.41457329114772,0.028652949061925587,0.5147155302560582,1.1903266220972215,0.47779204942542375,2.659929336925805,2.277536671995837,0.3285497837030397,,,,,
76,COMPLETE,98.1092306179212,0.12188460696827172,1.6205952259542555,1.3698739802599813,-1.8389372319189035,2.499603417135642,2.3851567449425164,0.12470986410527662,330914.7520433919,98.04881542026428,82804.19064152549,98.1092306179212,0.77066638770926
77,COMPLETE,97.59419938162101,0.0583752301308931,2.0686498737010766,1.0176182402677756,-0.0718477165812069,4.512000810391418,2.021525657104878,-0.226485187318937,329903.69175080716,97.74924200023916,82369.50427808813,97.59419938162101,1.0162724435483326
78,PRUNED,100.81747944243293,0.28499037296621593,1.1499094279056021,1.430513836474988,-0.16142931027646096,3.2179267289285205,1.1404556729276447,-0.05284661917039557,,,,,
79,PRUNED,44.23419859635746,0.35711320105543926,1.4269025777674358,3.089230878058981,-2.032507060995668,1.6410380649840994,3.0183057735597973,-0.4153102474289938,,,,,
80,PRUNED,48.67926969745587,0.12780706012366497,2.0211608005552275,2.341681664549433,-0.934130843224064,1.5247691133508396,2.4134184381521644,-0.00826229245832713,,,,,
81,PRUNED,92.40179453439463,0.07742541940773816,0.45456530314468946,0.005292762113792149,-1.5993604599162228,2.8451024722117366,3.215583543280688,0.008780174185527428,,,,,
82,PRUNED,103.5077450285972,0.34927044716932804,1.7223524891554476,1.9640452067807508,-2.176375710877171,3.2067553881615583,2.2660723358755877,0.20650856470066298,,,,,
83,COMPLETE,97.81566019251879,0.14683238677130797,2.3224334720007946,0.8491685832611704,-2.7292870437325796,2.080337773109595,1.0733676848349298,0.18908694795012052,330816.8388679498,98.01980410902216,82556.41720248586,97.81566019251879,0.48392744282079947
84,PRUNED,33.734520270098294,0.07371021688624511,-0.040533920806916424,1.9914358493237962,-2.6277271246279996,1.810105778716529,2.4067500471463275,0.6620421501621373,,,,,
85,PRUNED,96.01328589590726,0.07114035067829987,1.4244361195586843,3.3610939669382405,0.2132266157393023,5.350122460212039,4.1169416237181125,-0.21818434164727626,,,,,
86,PRUNED,99.70995059414173,0.06376271297598039,2.915177823945356,0.3284007076219517,-0.8820230696932555,3.3049583779873153,2.566625528650461,0.21839230225650208,,,,,
87,PRUNED,95.32906451200772,0.02607395081463373,0.1426460955741813,0.9283448505253825,1.9253480300243802,4.574221012279421,0.7463013884433496,0.5060838464662183,,,,,
88,PRUNED,99.70912325225389,0.09172684365642454,0.7032988965267479,0.04405262552729772,-0.3097452640462459,1.8628523949358673,0.6169465554943223,0.14756706249312623,,,,,
89,PRUNED,95.6709198532442,0.05975473081212576,1.3959213685753842,2.134341291164226,-1.8065512903779855,3.1995731933245315,1.1203357894709858,-0.10786779663088973,,,,,
90,PRUNED,20.69698791333992,0.4120700492445732,1.5165760865664815,2.186595679882693,2.371991579555216,3.6168613624264685,5.67762164584292,-0.9205194751576515,,,,,
91,PRUNED,49.54348159633699,0.016090529763581173,1.4948478599472186,1.7763529358001802,-1.591917601078083,2.7444537356459575,3.7394602553436194,-0.811320940531232,,,,,
92,PRUNED,49.58377408058158,0.1232506085868888,2.0405947323941316,5.061845604892524,-1.2241031729233076,0.8157081963561592,5.657507978234293,0.5700868904203267,,,,,
93,COMPLETE,96.86675197736895,0.01626757328208288,2.634480961887219,0.16891957053408924,-1.2366473434968839,1.32491171902281,0.38341779353686944,0.2942443006093555,329412.51750899426,97.60370889155385,81755.53866889939,96.86675197736895,0.636123567312342
94,PRUNED,54.97085325705137,0.02046151593704112,0.7805304644710771,2.8572401985957425,-0.1767420868429328,2.6620538324089082,0.504522638385484,-0.31129823022244363,,,,,
95,PRUNED,101.20301811029154,0.08757590198037715,2.7612133377275203,2.5947290420374416,-0.2779546961427594,5.924112671185684,2.069853539474398,0.16583606986629973,,,,,
96,COMPLETE,98.14966588221426,0.06143386862613036,2.5657880885686173,0.7739877159113345,-1.0806772964461349,3.349519545542875,0.33878448770596115,-0.013482975125597943,332276.7830695127,98.4523801687445,82838.31800458884,98.14966588221426,1.0145707451067816
97,PRUNED,92.47331320182101,0.15415259146256405,2.5062601780725315,2.158122930425387,-0.031585337256625046,2.9122530247609166,1.5410523496773914,0.40470353050041624,,,,,
98,COMPLETE,97.82617416326084,0.04899448051473404,1.6070672698706283,0.6446763664005591,-1.2618838554585083,3.3069912314968617,1.1202778681812733,0.031839625481684335,330822.731261115,98.02155000329333,82565.29099379215,97.82617416326084,0.9598220906408172
99,COMPLETE,97.09960048718506,0.06410160078903773,1.6645443226974344,0.031010067772188843,2.6992743294451396,2.6087276483126067,2.8559563386374345,0.3912830787265597,331530.7771602054,98.23134138080161,81952.0628111842,97.09960048718506,2.0561803699528642
100,COMPLETE,98.41915289776907,0.09315814005896474,2.6951976415462577,0.9258082104272787,0.39662631406454607,3.1161848091171507,0.9465656673510117,-0.012046417278989072,332394.959618173,98.48739544242163,83065.7650457171,98.41915289776907,0.995222073916951
101,PRUNED,103.93836958803801,0.13830932451359146,1.6117282899417704,1.425058314085458,-2.2190607231573276,4.718388267617419,2.912573464086689,-0.010804454505853128,,,,,
102,COMPLETE,98.72831661598323,0.2147329810557152,2.9648034022265954,0.8424104075295535,0.2636712421062075,2.833489737709705,0.3626062519115041,0.3093134493241017,333219.3042654767,98.73164570828939,83326.69922388985,98.72831661598323,1.0815570613834413
103,COMPLETE,98.63595034572232,0.0974684318827748,2.561528332867024,0.8968092507529033,0.18460214699583205,2.815420144694495,1.4038094565761858,0.15375459200563843,333402.67749237904,98.78597851626046,83248.74209178964,98.63595034572232,1.028383427794709
104,PRUNED,90.28069793857668,0.12532023546254792,2.5316305270038097,1.6019945212339766,1.3391727333972965,5.163197122974073,2.586114519624819,0.9696494971328169,,,,,
105,PRUNED,103.84085212089961,0.32483877562745334,2.8812465992960146,0.148889851645172,-1.095105938616114,3.9045269872419146,0.11803296776493605,-0.014526722166649022,,,,,
106,PRUNED,96.41809097057875,0.6574127602568146,2.1060928814551083,0.3332897425867578,1.2161467229559115,1.953549980900474,0.5022120206185456,0.38997288147112347,,,,,
107,PRUNED,89.61738731207274,0.06822939748752291,2.876132309083837,1.3546486019029758,1.0972566618045332,2.7770450679535608,0.13151243293844217,0.30566247929258444,,,,,
108,COMPLETE,98.54846629537155,0.05477494823463908,1.7991337064940802,1.0104669407805282,0.8012751343146768,3.2327626107773457,1.737975390186557,0.28807962076902677,332683.3078000784,98.57283194076398,83174.90555329359,98.54846629537155,1.230831036825023
109,PRUNED,94.00574759274654,0.08694233555677618,1.7631586713785214,1.7579339983687223,0.998340288902254,2.608342114504351,2.083532364998223,0.11676644033421199,,,,,
110,COMPLETE,98.20717675635493,0.1422386612227444,2.673031780607633,1.183902318384063,0.056612507482157765,2.502809136022962,0.7326703362930085,-0.20169307795458252,332156.0753244316,98.4166149109427,82886.85718236356,98.20717675635493,0.9885816491151967
111,PRUNED,47.41894543364077,0.28401332390320394,2.581691887021722,2.555481692881437,0.006643580274066065,1.7304704172317507,0.8657604777501117,-0.27209642215660096,,,,,
112,PRUNED,99.812291360354,0.12615490495911072,2.310587685601564,0.10297200087409841,1.1234368598053792,4.488920718456035,1.1727865699605993,0.11330992777219889,,,,,
113,COMPLETE,97.29647514665152,0.11933236191388116,2.365390391753751,0.3331842439283479,0.14608425852326573,3.2230142030513638,0.5405115544881136,0.045838138311034185,329424.12985840003,97.60714958767409,82118.22502377388,97.29647514665152,1.0066962304472544
114,PRUNED,96.61299547274142,0.17651553725159022,2.5026190832678847,1.661532774495607,0.6209565523820199,2.5644985152128466,1.1767287910618338,-0.15591184856106083,,,,,
115,PRUNED,52.48570785251131,0.172319588811595,1.2497832377658782,5.925343696075579,-0.4197132056411635,5.015418227685949,1.2431168846116418,0.08191595862047774,,,,,
116,PRUNED,93.9411491769229,0.05661694564287166,1.0436850893486462,1.9395386819439842,1.6948671305923975,4.250933884527668,2.0384479779390565,0.49481044070310504,,,,,
117,PRUNED,96.33741808720845,0.5427805360934902,2.3740318627214148,1.867481225156975,0.5315219688620074,3.7947059763025806,0.5314411827468974,0.5787808908042704,,,,,
118,COMPLETE,97.8646728963774,0.09017893287773343,2.6568703730786387,1.842236695707662,0.183153485857797,3.3826441890279355,0.43800434001583827,-0.4656059405954681,329863.44017745316,97.73731560813427,82597.78392454253,97.8646728963774,0.9147226489438417
119,COMPLETE,96.43895679868196,0.1255348325902288,2.5370053360465783,0.35886590221572556,-0.15308245358244232,3.649447459520489,1.0646581742462096,0.718651251717969,328680.47595891374,97.38680769153,81394.47953808757,96.43895679868196,0.88998710311692
120,PRUNED,100.34260696558184,0.01176285942351218,1.6207014652493708,0.8753245068868256,0.5188220395685552,3.802212811193859,0.996361636925436,0.26840334959159273,,,,,
121,PRUNED,97.38104651676858,0.29492676334403756,1.2374295257466998,0.3124777432825777,-0.22926038966210327,2.8478632375220276,1.9162774735427046,0.4191054287921379,,,,,
122,COMPLETE,98.00860059258036,0.040435168743667635,2.956215390508237,0.7606011442666423,0.32551209929157093,2.8281813372748488,1.6814114861048868,0.13310563754840798,332096.76379108214,98.3990411232836,82719.25890013782,98.00860059258036,1.0433274955059253
123,PRUNED,100.09787924377451,0.019234342292081888,0.6914208310780159,1.8970087489831253,-0.032560369961796946,3.9502100905695756,3.581664719080506,-0.31063981122302164,,,,,
124,COMPLETE,98.8728779332811,0.10893209416559126,2.1034854942226353,0.8264062149747101,-0.8407570851570803,2.0873395495267677,0.9361037457306534,0.18893457417961418,333336.3828142124,98.76633564865553,83448.70897568925,98.8728779332811,0.8411519181273535
125,PRUNED,97.07691692637887,0.17474326016157601,2.790102868981086,1.1757052729369233,-0.5035001318086054,2.282009156276301,1.8888412190257853,0.10868173894866923,,,,,
